index,Headline,Positive,Negative,Neutral
0,TikTok considers London and other locations for headquarters,0.068410575,0.010719769,0.920869648
1,Disney cuts ad spending on Facebook amid growing boycott: WSJ,0.010634935,0.954850256,0.034514759
2,"Trail of missing Wirecard executive leads to Belarus, Der Spiegel reports",0.020533459,0.732446849,0.247019753
3,Twitter says attackers downloaded data from up to eight non-verified accounts,0.028681882,0.084450468,0.886867642
4,U.S. Republicans seek liability protections as coronavirus aid battle looms,0.189856261,0.707711995,0.102431759
5,Wall Street Week Ahead: Fund managers navigate 'Night of the Living Dead' in small caps,0.04517613,0.060203742,0.894620121
6,Take Five: Hoping for that V-shape in earnings,0.089274615,0.013234637,0.89749074
7,Evictions nearly back to pre-pandemic levels in some U.S. areas: Cleveland Fed study,0.040432926,0.850311279,0.109255873
8,Google bans ads on coronavirus conspiracy theory content,0.016593242,0.661839366,0.321567416
9,"Flight to suburbs boosts U.S. homebuilding, but COVID-19 surge erodes consumer sentiment",0.713984787,0.252157718,0.033857495
10,Delta will avoid pilot furloughs if they agree to reduced minimum pay: memo,0.068444781,0.115677148,0.815878093
11,S&P 500 ends higher as traders weigh stimulus and virus worries,0.494774938,0.340915442,0.164309636
12,FTC considering deposing top Facebook executives in antitrust probe: WSJ,0.018164111,0.753287613,0.228548318
13,Where did all the bulls go? Rallies stall as EU summit begins,0.031659052,0.592402935,0.375937998
14,BlackRock profit beats Street estimates as markets rebound,0.825535357,0.089937888,0.084526829
15,"Dollar falls, euro hovers at four-month high as EU negotiates rescue fund",0.082673736,0.8199386,0.097387739
16,Boohoo tells UK Home Secretary it is probing charges of malpractice in supply chain,0.014409561,0.916633487,0.068956926
17,"Exclusive: EU in talks with Moderna, BioNtech, CureVac to secure possible COVID vaccines",0.835945249,0.008916888,0.155137852
18,"Former Pemex boss arrives back in Mexico for graft trial, enters hospital",0.051248215,0.099215269,0.849536479
19,Twitter says about 130 accounts were targeted in cyber attack this week,0.012504593,0.853211403,0.13428396
20,Senator asks Twitter about claim worker was paid to help with hack,0.040567417,0.097459294,0.861973345
21,Treasury's Mnuchin open to blanket forgiveness for smaller business relief loans,0.700395048,0.100317053,0.199287876
22,"On eve of bankruptcy, U.S. firms shower execs with bonuses",0.052418608,0.763940513,0.183640912
23,Rival parties take aim at Germany's Scholz over Wirecard scandal,0.018830705,0.759500325,0.221668974
24,"U.S. economy faces significant risks, long road to recovery: IMF staff",0.144927338,0.0469888,0.808083892